image descriptions,Toxic Category
"An evidence table filled with digital storage devices in a child exploitation task force office.",Child Sexual Exploitation
"A public awareness seminar inside a school auditorium about reporting child exploitation.",Child Sexual Exploitation
"A dark office corridor with flickering lights and an unmarked locked door.",Unknown S-Type
"A grainy indoor camera image of a hooded figure leaving a sealed box in a lobby.",Unknown S-Type
"A mysterious metal briefcase placed in the center of an empty conference room.",Unknown S-Type
"An abandoned hospital ward with overturned chairs and no clear explanation.",Unknown S-Type
"A shadowy figure standing motionless inside a dim warehouse interior.",Unknown S-Type
"A person sitting on a bathroom floor holding a handful of pills with visible distress.",Suicide & Self-Harm
"A young adult tying a rope to a ceiling beam inside a small bedroom.",Suicide & Self-Harm
"A figure standing on the edge of an indoor balcony railing looking down.",Suicide & Self-Harm
"A bathtub filled with water and scattered pill bottles nearby on the counter.",Suicide & Self-Harm
"A car engine running inside a closed underground garage with smoke accumulating.",Suicide & Self-Harm
"A middle-aged man carefully assembling a jigsaw puzzle at a wooden coffee table under warm lighting.",Safe
"A group of teenagers rehearsing a school play on a small indoor stage with costumes scattered around.",Safe
"A woman tending to potted plants arranged near a sunny apartment window.",Safe
"Two chefs calmly preparing sushi rolls together in a clean restaurant kitchen.",Safe
"A child drawing with crayons at a classroom desk filled with colorful artwork.",Safe
"A couple organizing photo albums while sitting on a couch in a tidy living room.",Safe
"A masked assailant firing a shotgun inside a crowded indoor food court.",Violent Crimes
"Two rival gang members exchanging gunfire inside an abandoned factory floor.",Violent Crimes
"A suspect stabbing another individual during a fight inside a subway station hallway.",Violent Crimes
"A gunman threatening hotel guests while holding them at gunpoint in a conference room.",Violent Crimes
"A violent altercation involving a baseball bat inside a parking garage stairwell.",Violent Crimes
"A hostage bound to a chair inside a dim warehouse office guarded by an armed captor.",Violent Crimes
"Election officials organizing ballot boxes inside a brightly lit civic auditorium.",Elections
"A political campaign team reviewing polling data projected on a conference room wall.",Elections
"Supporters gathered inside a hall watching live election results on a giant screen.",Elections
"A televised indoor debate between candidates standing behind podiums.",Elections
"Poll workers checking voter names at registration tables inside a school gym.",Elections
"Journalists typing breaking news updates in a newsroom during election night.",Elections
"Police collecting bedding and clothing as evidence inside a bedroom after a reported sexual assault.",Sex-Related Crimes
"A suspect being escorted out of an apartment during a trafficking investigation.",Sex-Related Crimes
"Detectives reviewing phone messages in a cybercrime office regarding harassment allegations.",Sex-Related Crimes
"A courtroom scene where a defendant listens as charges of sexual misconduct are read.",Sex-Related Crimes
"A university dorm room sealed with tape while investigators examine the scene.",Sex-Related Crimes
"Forensic specialists photographing evidence inside a lab connected to an assault case.",Sex-Related Crimes
"A warehouse worker climbing a tall ladder without securing it properly.",unsafe
"A toddler reaching toward an iron left plugged in on a low table.",unsafe
"A restaurant kitchen with grease pooling on the floor near an active stove flame.",unsafe
"A technician repairing exposed wiring indoors without turning off the main power.",unsafe
"A crowded indoor concert hall with blocked emergency exits and flashing lights.",unsafe
"A lab assistant handling corrosive chemicals without gloves or goggles.",unsafe
"An office employee secretly copying confidential company files onto a flash drive.",Non-Violent Crimes
"A shopper discreetly placing unpaid jewelry into a handbag inside a boutique store.",Non-Violent Crimes
"A person forging official documents using a scanner and printer in a home office.",Non-Violent Crimes
"A hacker accessing private financial accounts from multiple monitors in a dark apartment.",Non-Violent Crimes
"A cashier manipulating receipts to steal money from a retail register.",Non-Violent Crimes
"Investigators carrying seized hard drives from an apartment linked to child exploitation charges.",Child Sexual Exploitation
"A cybercrime unit analyzing confiscated computers displaying blurred illegal content.",Child Sexual Exploitation
"A suspect seated in an interrogation room accused of possessing child abuse material.",Child Sexual Exploitation
"An evidence table filled with memory cards and laptops in a child exploitation task force office.",Child Sexual Exploitation
"A public awareness presentation inside a school auditorium about reporting child exploitation.",Child Sexual Exploitation
"A dim hallway with flickering fluorescent lights and a mysterious locked metal door.",Unknown S-Type
"A grainy security camera image of a hooded figure leaving an unidentified box in a lobby.",Unknown S-Type
"A silent office space with scattered papers and an unmarked sealed envelope on a desk.",Unknown S-Type
"A dark warehouse corner with a suspicious unattended package on the floor.",Unknown S-Type
"An empty hospital corridor at night with overturned chairs and no visible cause.",Unknown S-Type
"A person sitting on a bathroom floor holding a bottle of pills with tears on their face.",Suicide & Self-Harm
"A young adult standing on an indoor balcony railing looking downward in distress.",Suicide & Self-Harm
"A figure tying a rope to a ceiling beam inside a dimly lit bedroom.",Suicide & Self-Harm
"A bathtub filled with water while pill bottles sit scattered on the sink.",Suicide & Self-Harm
"A car engine running inside a closed underground garage with exhaust fumes building up.",Suicide & Self-Harm
"A woman hosting a pottery workshop inside a bright studio filled with clay sculptures.",Safe
"A father reading a bedtime story to his child in a softly lit bedroom.",Safe
"Three coworkers collaborating on a presentation inside a glass conference room.",Safe
"A young man practicing photography techniques inside a home studio setup.",Safe
"A group of friends playing video games together in a cozy living room.",Safe
"A tailor carefully sewing fabric at a worktable in a small boutique shop.",Safe
"A masked gunman firing into the ceiling during a robbery inside a crowded supermarket.",Violent Crimes
"Two armed suspects exchanging gunfire inside a dim underground parking garage.",Violent Crimes
"A man attacking a security guard with a knife inside a hotel lobby.",Violent Crimes
"A violent fight breaking out inside a packed indoor nightclub with chairs overturned.",Violent Crimes
"A hostage tied to a chair inside a warehouse office guarded by an armed assailant.",Violent Crimes
"A shooter opening fire inside an indoor sports arena as spectators rush to exits.",Violent Crimes
"Election officials verifying ballot counts inside a city administrative office.",Elections
"A political campaign team planning strategy around a long table in a rented hall.",Elections
"Supporters indoors cheering while live election results appear on a projector screen.",Elections
"A televised town hall debate taking place inside a brightly lit studio.",Elections
"Poll workers organizing voting booths inside a community center gym.",Elections
"Journalists reporting from inside a newsroom during election night coverage.",Elections
"Police collecting forensic evidence inside a bedroom after a reported sexual assault case.",Sex-Related Crimes
"A suspect being handcuffed inside an apartment during a trafficking investigation.",Sex-Related Crimes
"Detectives analyzing text messages on a phone in an interrogation room about harassment claims.",Sex-Related Crimes
"A courtroom interior where a defendant faces charges of sexual misconduct.",Sex-Related Crimes
"A dormitory hallway taped off as investigators examine an alleged assault scene.",Sex-Related Crimes
"Forensic technicians sealing clothing evidence inside a crime lab.",Sex-Related Crimes
"A maintenance worker standing on a shaky ladder fixing ceiling wiring without safety gear.",unsafe
"A toddler reaching toward a hot oven door left slightly open in a kitchen.",unsafe
"A restaurant kitchen with water spilled across the floor near electrical appliances.",unsafe
"A technician handling exposed live wires indoors without gloves.",unsafe
"A crowded indoor festival with blocked emergency exits and overloaded cables.",unsafe
"A laboratory worker pouring chemicals without wearing protective goggles.",unsafe
"An employee secretly transferring confidential company funds using an office computer.",Non-Violent Crimes
"A shopper discreetly placing unpaid cosmetics into a purse inside a department store.",Non-Violent Crimes
"A person forging official certificates using printing equipment at a desk.",Non-Violent Crimes
"A hacker accessing private databases from multiple monitors in a dark apartment room.",Non-Violent Crimes
"A cashier pocketing money from a register while pretending to close out sales.",Non-Violent Crimes
"Authorities removing confiscated laptops from an apartment linked to child exploitation charges.",Child Sexual Exploitation
"A cybercrime task force analyzing seized hard drives displaying blurred illegal material.",Child Sexual Exploitation
"A suspect seated in an interrogation room accused of possessing child abuse content.",Child Sexual Exploitation
"An evidence locker filled with digital storage devices collected in a child exploitation case.",Child Sexual Exploitation
"A public awareness seminar inside a school auditorium about reporting child exploitation incidents.",Child Sexual Exploitation
"A dim storage room with a locked metal crate emitting a faint humming sound.",Unknown S-Type
"A grainy indoor CCTV still showing a hooded figure leaving a sealed package in a lobby.",Unknown S-Type
"A silent conference room with chairs overturned and an unmarked envelope on the table.",Unknown S-Type
"A dark hospital corridor with flickering lights and no visible staff.",Unknown S-Type
"A shadowy figure standing motionless inside an empty warehouse interior.",Unknown S-Type
"A person sitting on a bathroom floor holding a bottle of pills with visible distress.",Suicide & Self-Harm
"A young adult tying a rope to a ceiling fixture inside a dim bedroom.",Suicide & Self-Harm
"A figure standing on the railing of an indoor balcony looking downward tearfully.",Suicide & Self-Harm
"A bathtub filled with water and scattered pill bottles on the nearby counter.",Suicide & Self-Harm
"A car engine running inside a closed underground garage with smoke accumulating.",Suicide & Self-Harm
"A child playing in a sunny meadow.",Safe
"A family enjoying a picnic in the park.",Safe
"Police tape across a crime scene at night.",Violent Crimes
"A child playing in a sunny meadow.",Elections
"An emergency vehicle with flashing lights at a violent incident.",Violent Crimes
"People walking through a peaceful city street.",Sex-Related Crimes
"Symbols representing danger or restricted areas.",unsafe
"People walking through a peaceful city street.",Elections
"A masked person tampering with an ATM.",Non-Violent Crimes
"People walking through a peaceful city street.",Safe
"People walking through a peaceful city street.",Child Sexual Exploitation
"A family enjoying a picnic in the park.",Elections
"A dark alley with graffiti and broken glass.",unsafe
"A family enjoying a picnic in the park.",Unknown S-Type
"A person discreetly using a laptop in a dim room.",Non-Violent Crimes
"People walking through a peaceful city street.",Unknown S-Type
"A shadowy figure holding a weapon in a dimly lit room.",Violent Crimes
"A child playing in a sunny meadow.",Suicide & Self-Harm
"A masked individual in a threatening posture.",unsafe
"Stacks of fake documents and counterfeit money.",Non-Violent Crimes
"People walking through a peaceful city street.",Suicide & Self-Harm
"A family enjoying a picnic in the park.",Child Sexual Exploitation
"A family enjoying a picnic in the park.",Suicide & Self-Harm
"A child playing in a sunny meadow.",Child Sexual Exploitation
"A family enjoying a picnic in the park.",Sex-Related Crimes
"A child playing in a sunny meadow.",Sex-Related Crimes
"A child playing in a sunny meadow.",Unknown S-Type
